Terms,Use Notes & Variant Terms,,,
abstract,"Abstract (fine arts style), abstract art, abstract (general art genre), abstraction",,,
acting,,,,
activists,activism,,,
actors,actor; actors (performing artists),,,
adults,adults (people),,,
advertising,advertisements; advertisement,,,
African,African (general; continental cultures),,,
African American,,,,
Afro-Cuban,,,,
afterlife,after life,,,
aggressiveness,"aggressive, aggression",,,
agriculture,,,,
AIDS,Use for: AIDS (medical syndrome); AIDS (Disease); AIDS crisis,,,
aircraft,,,,
albums,,,,
alchemy,,,,
alcohol,Use for: alcoholism,,,
allegory,allegory (artistic device),,,
ammunition,,,,
anatomy,anatomical,,,
ancestors,ancestry; ancestors (family relationships),,,
ancient,,,,
angels,angels (spirits),,,
anger,mad,,,
animals,animals (general term); mythical animal,,,
animation,animation,,,
anklets,ankle cuff,,,
antelopes,antelope,,,
anthropomorphic,,,,
anti-imperialist movements,Use to describe anti-colonialism; anti-imperialism,,,
apocalypse,,,,
apostles,,,,
appliances,,,,
archaeology,,,,
archery,,,,
architecture,architecture (discipline),,,
archives,archives (groupings),,,
arctic areas,arctic,,,
arrows,,,,
art,Use to describe art (broad object genre),,,
art education,Use to describe art class,,,
art in art,Use to describe images of paintings or other artworks within the image,,,
artists,artist; artists (visual artists),,,
Asian,,,,
attacks,attacks (armed conflicts),,,
audio equipment,,,,
autobiography,autobiography (genre),,,
automobiles,car,,,
autumn,,,,
badgers,badgers (animals); badger,,,
bags,bags (generic containers),,,
bakeries,bakery,,,
balances,balances (scales),,,
ballet,ballet (discipline),,,
bamboo,,,,
bark,bark (plant material),,,
barns,,,,
barriers,,,,
bars,,,,
baskets,,,,
bathrobes,,,,
bathrooms,,,,
baths,bathing,,,
battlefields,,,,
battles,,,,
bays,bays (bodies of water),,,
beaches,,,,
beads,beads (pierced objects),,,
beadwork,beading; beadwork (visual works),,,
beaks,beaks (animal components),,,
beards,,,,
bears,,,,
beauty,,,,
bedrooms,,,,
beds,bedside scene,,,
belts,belts (costume accessories),,,
Ben Day dots,Use instead of: ben-day dots,,,
benches,,,,
bibles,See also: biblical,,,
biblical,"See also: bibles, biblical subject; Bible Stories; biblical narrative",,,
binoculars,,,,
biology,,,,
birds,bird and flower; ducks; owls; eagles; Animals: Eagle; peacocks; herons,,,
birthdays,,,,
births,,,,
black,black (color),,,
black and white,black-and-white (colors); black and white negatives; black and white photographs; black and white prints; black and white transparencies; black-and-white prints (prints on paper),,,
blankets,blankets (coverings),,,
blood,blood (animal material),,,
blue,Blue; blue (color); Prussian blue; Baro-ai (Prussian blue),,,
boats,boat; gondolas (flat-bottomed watercraft); watercraft; ships; distant boats; prow,,,
bodhisattvas,Use instead of: bodhisattva,,,
bodies,body; bodies (animal components),,,
bombs,Bombs; incendiary bombs,,,
bones,,,,
bonsai,,,,
bookmarks,,,,
books,,,,
botanical illustration,botanical,,,
botany,,,,
bottles,,,,
bow and arrow,,,,
bowls,bowls (vessels),,,
bows,,,,
boxes,boxes (containers),,,
boys,,,,
bracelets,bracelet (jewelry); bracelets (jewelry); charm bracelets,,,
braids,,,,
braille,,,,
branches,Use instead of: branch,,,
bread,,,,
breakfasts,,,,
breast,,,,
breastfeeding,,,,
brick,brick (clay material),,,
bricks,,,,
brides,,,,
bridges,,,,
bright,bright (color attribute),,,
brothels,,,,
brown,,,,
Buddhism,buddhist; Tibetan Buddhism,,,
buildings,buildings (structures),,,
built environments,built environments (object groupings),,,
burkas,,,,
burlesques,,,,
busts,busts (figures); busts (sculpture),,,
butterflies,,,,
cables,,,,
cactus,,,,
calendars,calendars (documents),,,
calligraphy,calligraphy; calligraphy (process),,,
camels,,,,
cameras,camera (photographic equipment); camera (photography equipment); cameras (photographic equipment); 35mm cameras; camera accessories; camera components; camera lucidas; camera obscuras; digital cameras; disposable cameras; electric eye cameras; folding cameras; folding camera; half-frame cameras; instant cameras; miniature cameras; miniature camera; box cameras; single lens reflex cameras; stereoscopic cameras; subminiature cameras; rangefinder cameras; reflex cameras; view cameras; twin-lens reflex cameras; pinhole cameras; motion picture cameras; video cameras,,,f
candy,,,,
canyons,,,,
capes,capes (outerwear),,,
capitalism,,,,
capitals,capitals (column components),,,
caps,caps (headgear),,,
cards,cards (information artifacts),,,
caricatures,,,,
carpets,,,,
carriages,carriages (vehicles),,,
cartoons,cartoons (humorous images),,,
cartouches,cartouches (ornament),,,
carts,,,,
cases,cases (containers),,,
castles,castle; castles (fortifications),,,
cats,Siamese cats; cat,,,
cave dwellers,cave dwellers,,,
caverns,,,,
caves,,,,
ceilings,,,,
celebrations,,,,
celebrities,celebrity,,,
censers,,,,
censorship,,,,
ceremonies,,,,
chairs,chairs (furniture forms),,,
charity,charity (philosophical concept),,,
chickens,,,,
childhood,youth (concept),,,
children,kids; children (people by age group); youth (person),,,
children's literature,children's literature,,,
Chinese,Chinese (culture or style),,,
Christianity,Christian; religion - Christian,,,
Christmas,,,,
churches,churches (buildings),,,
circles,circular; circles (plane figures),,,
circuses,circuses (performances),,,
cities,city; cities and towns; city in ruins; city scene; cityscapes,,,
civic centers,civic space,,,
civil rights,,,,
classes,,,,
classical antiquities,Roman art; Roman; Greek; SPQR,,,
classrooms,,,,
claws,claws (animal components),,,
clergy,,,,
cliffs,,,,
climate change,,,,
clocks,,,,
cloth,,,,
clothing,"Use for culture-related concept, ""dress”, ""dressing"", ""costume (modes of fashion)"", instead of ""costume"". For “Halloween costume” use “costume”. Variant term for dress (mode of fashion); costume (mode of fashion); clothing and dress; dressing; dress (culture-related concept).",,,
clouds,,,,
clowns,,,,
coal,,,,
coastlines,coast,,,
cobblestones,,,,
cold,cold--physiological effect,,,
collages,collages (visual works); assemblage,,,
colonialism,,,,
color theory,,,,
columns,columns (architectural elements); Tuscan Doric columns. Doric Columns,,,
comic books,,,,
communication,,,,
communications,communications (discipline),,,
communism,,,,
composers,composers (people in music),,,
composition,composition (artistic arrangement),,,
computers,computer equipment; laptop computers,,,
concentration camps,internment,,,
conceptual art,conceptual art (general art genre),,,
conflict,Conflict; conflict (general sense),,,
conflicts,,,,
conservation,,,,
construction,construction (discipline),,,
consumerism,,,,
containers,containers,,,
contemplation,,,,
cooking,,,,
corners,corners (attribute or configuration),,,
corpses,corpses (bodies),,,
correspondence,,,,
cosmetics,,,,
cosmos,,,,
costume,"Use this term for instances like “Halloween costume”. For culture-related concept, use “clothing”.",,,
couples,,,,
couplets,,,,
courtesans,,,,
courtrooms,,,,
courts,,,,
courtyards,,,,
covers,covers (closures),,,
cows,cows (mammals),,,
crafts,crafts (art genres),,,
craftsmen,craftsmen,,,
creatures,,,,
cribbage,,,,
crime,crime (social issue),,,
crocodiles,Animals: Crocodile,,,
crops,crop art,,,
crosses,crosses (motifs); burning cross,,,
crowds,,,,
crucifixions,,,,
cultural appropriation,,,,
cups,cups (drinking vessels),,,
curtains,curtains (window hangings),,,
curves,curvy; curves (geometric figures),,,
cutting tools,,,,
Cyrillic,,,,
daggers,daggers (weapons),,,
damage,,,,
dance,,,,
dancers,,,,
darkness,,,,
darkrooms,,,,
daughters,,,,
dawn,dawn (time of day),,,
deaths,,,,
decay,,,,
decoration and ornament,ornament,,,
decorations,decorations (ornamental works),,,
decorative arts,decorative arts (discipline),,,
deer,,,,
deities,Use for God; gods; goddesses; goddess,,,
demons,,,,
"depression, mental",,,,
deserts,,,,
design,design (discipline),,,
desks,,,,
destruction,,,,
deterioration,,,,
devils,devils (spirits),,,
devotion,,,,
diaspora,diaspora (people),,,
disease,,,,
dishes,dishes (object genre),,,
diving,,,,
documentary photography,photodocumentary,,,
documentation,documentation (activity),,,
dogs,,,,
dolls,,,,
dolphins,,,,
domes,domes (architectural elements),,,
domestic space,domestic; domestic relations; domestic life; daily life,,,
doodles,,,,
doors,,,,
doorways,,,,
dots,,,,
doubles,,,,
dragons,,,,
drama,,,,
drawing,,,,
dreams,,,,
dress accessories,,,,
dresses,dresses; dresses (garments); gowns; dress. See also: clothing. See also: costume.,,,
drinking,,,,
drinks,,,,
driveways,,,,
drowning,,,,
drums,drums (membranophones),,,
dusk,,,,
dust,,,,
easels,,,,
eating,,,,
eclipses,eclipses (astronomical),,,
ecology,,,,
economics,,,,
education,,,,
eggs,,,,
elderly,elderly person; elder; elders; aging; old man; older people,,,
elephants,,,,
elite,,,,
emotion,,,,
emperors,Deified Emperor,,,
endangered species,,,,
engravings,engravings (prints); engraving (printing process); white line engravings; white-line print; white line engravings (relief prints),,,
enslaved persons,"See also: slavery. Use instead of: slave, slaves.",,,
entertaining,entertainment,,,
environment,environment (earth sciences concept),,,
environmental disasters,,,,
environmentalism,,,,
equestrians,equestrian; Horseman; rider,,,
erotica,erotic,,,
etchings,etchings (prints),,,
ethics,moral,,,
evening,,,,
ewers,ewers (vessels),,,
exhibitions,exhibitions (events),,,
exports,,,,
exterior,outdoor; outdoors; outside,,,
extraterrestrial beings,,,,
eye,,,,
eyeglasses,glasses,,,
fables,Use instead of: fable,,,
faces,faces (animal components),,,
facial hairstyles,facial hair,,,
factories,factory; factories (structures),,,
fairy tales,fairytale,,,
fame,famous,,,
families,families (kinship groups),,,
fans,,,,
fantasy,fantasy (imagination),,,
farm equipment,farming equipment; agricultural equipment,,,
farmers,farmers (people in agriculture),,,
farming,farming (activity or system),,,
farms,farmland,,,
fashion,fashion (culture-related concept),,,
fathers,,,,
fatigue,exhaustion,,,
feathers,feather (material),,,
feet,foot; feet (animal components),,,
female,,,,
feminism,,,,
fertility,,,,
festivals,,,,
fiction,fiction (general genre),,,
fictitious characters,,,,
fields,fields (land),,,
fighting,fight; headbutt,,,
figures,figures (representations),,,
figurines,,,,
film,"cinema, film (discipline); cinematography; cinema",,,
firearms,gun,,,
fires,fires (events); fire (physical concept),,,
fish,fish (animals); fishes; goldfish; goldfish,,,
fishing,fishing--equipment and supplies; fishing equipment,,,
flagons,,,,
flags,,,,
flight,,,,
floods,floods (natural events),,,
flowers,flower; bird and flower; Japanese flowering cherry; cherry blossom,,,
flutes,flutes (aerophones),,,
fog,mist,,,
folk art,,,,
folk costume,,,,
folklore,folklore (culture-related concept); tradition; traditional,,,
food,food service,,,
forests,forests (plant communities),,,
forgeries,forgeries (derivative objects),,,
form,form (composition concepts),,,
fountains,,,,
foxes,foxes (animals),,,
French,French (culture or style),,,
friends,,,,
fruit,fruit (plant components),,,
funeral rites and ceremonies,funerary,,,
funnels,,,,
fur,,,,
furniture,,,,
galaxies,Use instead of: galaxy,,,
games,game,,,
gardens,gardens (open spaces),,,
gates,gate,,,
gemstones,gems; precious stones; jewels,,,
gender identity,gender (sociological concept). See also: specific genders and nonbinary gender identity.,,,
generations,,,,
genetics,,,,
genocide,,,,
genre scenes,"genre paintings, art genres, genres",,,
geography,,,,
geometry,geometrical; geometric shapes; geometric shape; geometric patterns; geometric motifs,,,
gesture,,,,
girls,,,,
globalism,global,,,
gloves,,,,
gluepots,,,,
goats,,,,
gorillas,Use instead of: gorilla,,,
