URL,ID_NUMBER,Tags
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3292497,AC 1964.51.a,bodies; human; sculpture; statues; art; woods
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3292496,AC 1964.51.a,sculpture; art; photography
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3292498,AC 1964.51.a,sculpture; woods; art; pottery
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3063379,AC 1945.192.a-d,drinks; dishes
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3088787,AC 1978.78.a,boats; water; buildings; vehicles; windows; art; painting
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3052145,"AC D.1930.17.a,b",art; painting; rectangles; drawing; illustrations
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3052144,"AC D.1930.17.a,b",nose; bodies; human; art; painting
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235080,AC 1945.177.a-d,furniture; tables; chairs; dishes; vases; art; music; musical instruments; lighting
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235081,AC 1945.198.a,dishes; water
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3063605,AC 1978.78.b,rectangles; art; woods; patterns; drawing
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3063606,AC 1978.78.b,trees; painting; art; plants; houses; landscapes
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3185329,AC 1978.78.c,plants; clouds; landscapes; sky
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3185330,AC 1978.78.d,plants; flowers; botany; landscapes; water; trees
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3088834,AC 1978.78.e,plants; landscapes; branches; painting; trees; art; houses
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3043648,AC 1977.15.b,heads; bodies; human; art; patterns; drawing; illustrations; painting; circles; people
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235655,"AC 1945.215.a,b",dishes; utensils; spoons; circles
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235670,"AC 1945.215.a,b",dishes; utensils; spoons; circles
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235671,"AC 1945.215.a,b",dishes; utensils; spoons; tools
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235610,AC 1945.217.a-f,dishes; utensils; spoons
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3043649,AC 1977.15.c,art; patterns; rectangles; drawing; illustrations; painting; animals; people
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235668,"AC 1945.219.a,b",dishes; utensils; spoons
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235667,"AC 1945.222.a,b",dishes; utensils; spoons; circles
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235609,AC 1945.224.a-i,dishes; utensils; spoons; tables; tools; transparencies
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235603,AC 1945.251.a-f,tools; utensils; households; dishes
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235604,AC 1945.251.a-f,utensils; tools; transparencies; households; dishes
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235605,AC 1945.251.a-f,tools; households; utensils; woods; spoons
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235607,AC 1945.251.a-f,utensils; spoons; tools; households
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235608,AC 1945.251.a-f,dishes; utensils; spoons; woods
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235606,AC 1945.251.a-f,utensils; dishes; tools; households
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3308745,AC 1978.12.a,woods; fruit; circles; food; trees; dishes
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3072354,AC 1978.24.a,plants; trees; landscapes; woods; grasses
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3089645,AC 1978.24.c,plants; trees; flowers; woods; beauty
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3089646,AC 1978.24.d,flowers; plants; windows; rectangles; woods; art
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3089647,AC 1978.24.e,hats; walls; people; shoes
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3089648,AC 1978.24.f,woods; art; walls; painting; rectangles; rooms; dishes; tables
